mean_score,total_steps,std_score,max_score,min_score
-11.58489227294922,1728,0.0,-11.58489227294922,-11.58489227294922
-16.20992088317871,1792,0.0,-16.20992088317871,-16.20992088317871
-12.870749473571776,2832,0.0,-12.870749473571776,-12.870749473571776
-9.7184476852417,3664,0.0,-9.7184476852417,-9.7184476852417
-13.673032760620115,6224,0.0,-13.673032760620115,-13.673032760620115
-11.43127727508545,8544,0.0,-11.43127727508545,-11.43127727508545
-14.131139755249023,8736,0.0,-14.131139755249023,-14.131139755249023
-12.32910442352295,9520,0.0,-12.32910442352295,-12.32910442352295
-15.647214889526367,10288,0.0,-15.647214889526367,-15.647214889526367
-14.797855377197266,11632,0.0,-14.797855377197266,-14.797855377197266
-13.407909393310549,11664,0.0,-13.407909393310549,-13.407909393310549
-6.556366920471191,11936,0.0,-6.556366920471191,-6.556366920471191
-12.78640079498291,15664,0.0,-12.78640079498291,-12.78640079498291
-9.699323654174805,17568,0.0,-9.699323654174805,-9.699323654174805
-8.484846115112305,19856,0.0,-8.484846115112305,-8.484846115112305
-11.91371726989746,21456,0.0,-11.91371726989746,-11.91371726989746
-13.942991256713867,21664,0.0,-13.942991256713867,-13.942991256713867
-1.55928373336792,23504,0.0,-1.55928373336792,-1.55928373336792
-12.95121955871582,24016,0.0,-12.95121955871582,-12.95121955871582
-10.622045516967772,24944,0.0,-10.622045516967772,-10.622045516967772
-13.164490699768066,26592,0.0,-13.164490699768066,-13.164490699768066
-8.055224418640137,26880,0.0,-8.055224418640137,-8.055224418640137
-4.963060855865479,28720,0.0,-4.963060855865479,-4.963060855865479
-7.561653137207031,29216,0.0,-7.561653137207031,-7.561653137207031
-14.707743644714355,29776,0.0,-14.707743644714355,-14.707743644714355
-12.942487716674805,29952,0.0,-12.942487716674805,-12.942487716674805
-8.514537811279297,31024,0.0,-8.514537811279297,-8.514537811279297
1.2295007705688477,36000,0.0,1.2295007705688477,1.2295007705688477
-11.881057739257812,37664,0.0,-11.881057739257812,-11.881057739257812
-6.25698709487915,39600,0.0,-6.25698709487915,-6.25698709487915
-5.504659652709961,41072,0.0,-5.504659652709961,-5.504659652709961
-3.2468008995056152,43840,0.0,-3.2468008995056152,-3.2468008995056152
-9.047369003295898,47008,0.0,-9.047369003295898,-9.047369003295898
-12.568489074707031,49152,0.0,-12.568489074707031,-12.568489074707031
-8.980420112609863,49216,0.0,-8.980420112609863,-8.980420112609863
-16.261661529541016,49664,0.0,-16.261661529541016,-16.261661529541016
-11.073319435119627,49792,0.0,-11.073319435119627,-11.073319435119627
-13.447429656982422,51568,0.0,-13.447429656982422,-13.447429656982422
-7.881871223449707,51888,0.0,-7.881871223449707,-7.881871223449707
-7.861960887908935,53488,0.0,-7.861960887908935,-7.861960887908935
-5.104824066162109,54560,0.0,-5.104824066162109,-5.104824066162109
-0.5183353424072266,56752,0.0,-0.5183353424072266,-0.5183353424072266
-11.343772888183594,57856,0.0,-11.343772888183594,-11.343772888183594
-10.034929275512695,58416,0.0,-10.034929275512695,-10.034929275512695
-9.98832893371582,58976,0.0,-9.98832893371582,-9.98832893371582
-6.063484191894531,61168,0.0,-6.063484191894531,-6.063484191894531
-10.171235084533691,63056,0.0,-10.171235084533691,-10.171235084533691
-13.563018798828123,64080,0.0,-13.563018798828123,-13.563018798828123
-7.781133651733398,64608,0.0,-7.781133651733398,-7.781133651733398
-8.73037338256836,64720,0.0,-8.73037338256836,-8.73037338256836
-13.972471237182615,66464,0.0,-13.972471237182615,-13.972471237182615
-7.080842971801758,68784,0.0,-7.080842971801758,-7.080842971801758
-12.47962760925293,69600,0.0,-12.47962760925293,-12.47962760925293
-10.434505462646484,69728,0.0,-10.434505462646484,-10.434505462646484
-10.565380096435549,70064,0.0,-10.565380096435549,-10.565380096435549
-9.3094482421875,71696,0.0,-9.3094482421875,-9.3094482421875
-12.100194931030272,72352,0.0,-12.100194931030272,-12.100194931030272
-3.343463897705078,72816,0.0,-3.343463897705078,-3.343463897705078
-9.722004890441896,76272,0.0,-9.722004890441896,-9.722004890441896
-12.339580535888672,78496,0.0,-12.339580535888672,-12.339580535888672
-3.7493276596069336,82032,0.0,-3.7493276596069336,-3.7493276596069336
-10.432612419128418,82464,0.0,-10.432612419128418,-10.432612419128418
-11.467544555664062,83808,0.0,-11.467544555664062,-11.467544555664062
-13.618913650512695,83968,0.0,-13.618913650512695,-13.618913650512695
-10.969276428222656,84832,0.0,-10.969276428222656,-10.969276428222656
